sampleLabelId,sample_date,assumed,substances,url,city,state
603755,"February 10, 2026",cocaine,['cocaine'],https://results.streetsafe.supply/sample/603755,Frisco,TEXAS
603756,"February 10, 2026",cocaine,['cocaine'],https://results.streetsafe.supply/sample/603756,Frisco,TEXAS
603757,"February 10, 2026",cocaine,['cocaine'],https://results.streetsafe.supply/sample/603757,Dallas,TEXAS
603758,"February 10, 2026",cocaine,['cocaine'],https://results.streetsafe.supply/sample/603758,Frisco,TEXAS
603759,"February 10, 2026",cocaine,['cocaine'],https://results.streetsafe.supply/sample/603759,Dallas,TEXAS
810410,"February 6, 2026",benzodiazepine,['alprazolam'],https://results.streetsafe.supply/sample/810410,Johnson City,NEW YORK
810411,"February 6, 2026",heroin,"['acetaminophen', 'caffeine', '4-ANPP', 'heroin', 'fentanyl']",https://results.streetsafe.supply/sample/810411,Johnson City,NEW YORK
810412,"February 6, 2026",fentanyl,"['4-ANPP', 'fentanyl']",https://results.streetsafe.supply/sample/810412,Johnson City,NEW YORK
810413,"February 6, 2026",heroin,"['caffeine', 'procaine', '4-ANPP', 'fentanyl']",https://results.streetsafe.supply/sample/810413,Jefferson County,NEW YORK
816680,"February 2, 2026",benzodiazepine,['phenazolam'],https://results.streetsafe.supply/sample/816680,King County,WASHINGTON
816681,"February 2, 2026",amphetamine,['methamphetamine'],https://results.streetsafe.supply/sample/816681,King County,WASHINGTON
816685,"February 3, 2026",fentanyl,"['4-ANPP', 'fentanyl']",https://results.streetsafe.supply/sample/816685,King County,WASHINGTON
817289,"January 29, 2026",methamphetamine,['methamphetamine'],https://results.streetsafe.supply/sample/817289,Seattle,WASHINGTON
817306,"February 9, 2026",methamphetamine,['methamphetamine'],https://results.streetsafe.supply/sample/817306,Seattle,WASHINGTON
817309,"February 5, 2026",fentanyl,"['4-ANPP', 'ethyl 4-ANPP', 'fentanyl', 'phenethyl 4-ANPP']",https://results.streetsafe.supply/sample/817309,Seattle,WASHINGTON
817310,"February 9, 2026",cocaine,['cocaine'],https://results.streetsafe.supply/sample/817310,Seattle,WASHINGTON
817315,"February 9, 2026",2C-B,"['acetaminophen', '2C-B', 'caffeine']",https://results.streetsafe.supply/sample/817315,Seattle,WASHINGTON
817317,"February 9, 2026",ketamine,['ketamine'],https://results.streetsafe.supply/sample/817317,Seattle,WASHINGTON
817324,"February 5, 2026",methamphetamine,['methamphetamine'],https://results.streetsafe.supply/sample/817324,Seattle,WASHINGTON
817346,"February 5, 2026",ketamine,['ketamine'],https://results.streetsafe.supply/sample/817346,Seattle,WASHINGTON
817511,"February 9, 2026",heroin,['heroin'],https://results.streetsafe.supply/sample/817511,Raton,NEW MEXICO
817808,"February 13, 2026",MDMA,"['3,4-MDMA']",https://results.streetsafe.supply/sample/817808,Grand Rapids,MICHIGAN
817888,"January 27, 2026",crack,['cocaine'],https://results.streetsafe.supply/sample/817888,Chicago,ILLINOIS
817890,"January 27, 2026",crack,['cocaine'],https://results.streetsafe.supply/sample/817890,Chicago,ILLINOIS
816175,"February 3, 2026",methamphetamine,['methamphetamine'],https://results.streetsafe.supply/sample/816175,Tacoma,WASHINGTON
816176,"February 3, 2026",methamphetamine,['methamphetamine'],https://results.streetsafe.supply/sample/816176,Tacoma,WASHINGTON
816180,"February 5, 2026",ketamine,['ketamine'],https://results.streetsafe.supply/sample/816180,Tacoma,WASHINGTON
816181,"February 5, 2026",ketamine,['2-Fluoro-2-oxo PCE'],https://results.streetsafe.supply/sample/816181,Tacoma,WASHINGTON
816184,"February 5, 2026",cocaine,['cocaine'],https://results.streetsafe.supply/sample/816184,Tacoma,WASHINGTON
816695,"February 4, 2026",,['oxycodone'],https://results.streetsafe.supply/sample/816695,King County,WASHINGTON
816696,"February 4, 2026",methamphetamine,['methamphetamine'],https://results.streetsafe.supply/sample/816696,King County,WASHINGTON
816697,"February 6, 2026",fentanyl,"['4-ANPP', 'ethyl 4-ANPP', 'fentanyl']",https://results.streetsafe.supply/sample/816697,King County,WASHINGTON
816698,"February 6, 2026",fentanyl,"['4-ANPP', 'ethyl 4-ANPP', 'fentanyl', 'phenethyl 4-ANPP']",https://results.streetsafe.supply/sample/816698,King County,WASHINGTON
817301,"February 5, 2026",fentanyl,"['4-ANPP', 'fentanyl']",https://results.streetsafe.supply/sample/817301,Seattle,WASHINGTON
817318,"February 5, 2026",fentanyl,"['lidocaine', '4-ANPP', 'fentanyl']",https://results.streetsafe.supply/sample/817318,Seattle,WASHINGTON
817321,"February 5, 2026",fentanyl,"['4-ANPP', 'fentanyl']",https://results.streetsafe.supply/sample/817321,Seattle,WASHINGTON
817323,"February 5, 2026",fentanyl,"['4-ANPP', 'fentanyl']",https://results.streetsafe.supply/sample/817323,Seattle,WASHINGTON
817332,"February 6, 2026",fentanyl,"['4-ANPP', 'fentanyl']",https://results.streetsafe.supply/sample/817332,Seattle,WASHINGTON
817348,"February 6, 2026",crack,['cocaine'],https://results.streetsafe.supply/sample/817348,Seattle,WASHINGTON
817579,"February 9, 2026",fentanyl,['acetaminophen'],https://results.streetsafe.supply/sample/817579,Roswell,NEW MEXICO
817585,"February 3, 2026",fentanyl,[],https://results.streetsafe.supply/sample/817585,Roswell,NEW MEXICO
817589,"February 5, 2026",methamphetamine,['methamphetamine'],https://results.streetsafe.supply/sample/817589,Roswell,NEW MEXICO
